class,aa_000,ab_000,ac_000,ad_000,ae_000,af_000,ag_000,ag_001,ag_002,ag_003,ag_004,ag_005,ag_006,ag_007,ag_008,ag_009,ah_000,ai_000,aj_000,ak_000,al_000,am_0,an_000,ao_000,ap_000,aq_000,ar_000,as_000,at_000,au_000,av_000,ax_000,ay_000,ay_001,ay_002,ay_003,ay_004,ay_005,ay_006,ay_007,ay_008,ay_009,az_000,az_001,az_002,az_003,az_004,az_005,az_006,az_007,az_008,az_009,ba_000,ba_001,ba_002,ba_003,ba_004,ba_005,ba_006,ba_007,ba_008,ba_009,bb_000,bc_000,bd_000,be_000,bf_000,bg_000,bh_000,bi_000,bj_000,bk_000,bl_000,bm_000,bn_000,bo_000,bp_000,bq_000,br_000,bs_000,bt_000,bu_000,bv_000,bx_000,by_000,bz_000,ca_000,cb_000,cc_000,cd_000,ce_000,cf_000,cg_000,ch_000,ci_000,cj_000,ck_000,cl_000,cm_000,cn_000,cn_001,cn_002,cn_003,cn_004,cn_005,cn_006,cn_007,cn_008,cn_009,co_000,cp_000,cq_000,cr_000,cs_000,cs_001,cs_002,cs_003,cs_004,cs_005,cs_006,cs_007,cs_008,cs_009,ct_000,cu_000,cv_000,cx_000,cy_000,cz_000,da_000,db_000,dc_000,dd_000,de_000,df_000,dg_000,dh_000,di_000,dj_000,dk_000,dl_000,dm_000,dn_000,do_000,dp_000,dq_000,dr_000,ds_000,dt_000,du_000,dv_000,dx_000,dy_000,dz_000,ea_000,eb_000,ec_00,ed_000,ee_000,ee_001,ee_002,ee_003,ee_004,ee_005,ee_006,ee_007,ee_008,ee_009,ef_000,eg_000
neg,47430,0,2130706434,288,0,0,0,0,0,0,190,948794,1660844,193710,13204,0,1244384,0,30,0,0,0,2635004,2414812,372528,168476,0,0,0,0,212,606,0,0,0,0,0,0,5358,683034,2128350,0,2422,2730,13618,18886,27792,2712576,38718,0,0,0,1283070,596356,340546,176036,119682,79208,55346,41704,20232,104562,3008054,656,3950,6494,0,1244384,27552,191204,180274,136320,145620,na,na,na,na,na,na,85420,47430.04,3008054,3008054,2980092,13742,804,55418,582300,2822998,1209600,63220,2,94,0,2310217.92,0,509722.56,192,732,0,0,0,59896,456770,1074266,891860,220430,109332,4188,402,408,3008054,0,3932,470,276176,244620,141212,2006876,135874,7430,152,0,310,692,2327420,1161172,0,72,0,0,2329774,1878,210,0,0,0,0,0,0,0,0,13594,6542,2646,3850948,543064,57810,10730,11468500,1150838,2904762,196,0,0,7430050,11.38,1084,524934,274154,157964,89290,179730,184280,464578,938880,2932,0,0,0
neg,45950,0,2130706432,48,0,0,0,0,0,0,110542,1749622,916036,99666,2068,0,1294036,0,0,0,0,0,2715028,2495654,587972,165472,0,0,0,0,130,150,0,0,0,0,0,0,54,909790,1968090,0,1876,2254,2814,3160,6224,2782018,79588,0,0,0,1376232,429616,275896,176688,129250,104470,88688,144384,63264,89446,3303402,162,2380,578,0,1294036,24464,378098,209282,225760,223280,na,na,na,na,na,na,134440,45950.2,3303402,3303402,3275556,13652,672,84942,879480,2881518,1209600,84454,2,76,0,2378152.32,64.32,500137.92,48,638,0,0,16096,861588,1576886,386618,31026,4324,1380,16,98,106,3303402,0,4400,464,445320,249352,131226,1917394,127622,2060,96,0,48,216,2404174,1611128,0,30,0,0,2404836,3202,1176,0,0,10,64,0,0,0,0,12008,2758,974,4244194,526522,48702,8358,10326200,1035630,3243400,18666,0,0,5950220,10.2,1084,520594,347570,187688,213694,143520,229030,990194,242130,3514,0,0,0
neg,350,na,152,118,0,0,0,0,0,0,96,7998,25022,370,0,0,13302,0,0,0,0,0,31750,26028,8664,2774,0,0,0,0,34,86,0,0,0,0,0,0,26482,5820,1184,0,1344,22,30,30,1882,30120,58,0,0,0,22402,8718,1662,248,140,316,0,0,0,0,40444,0,30,12,0,13302,572,3442,5184,na,na,na,na,na,na,na,na,8400,350,40444,40444,42826,93.0,98,3838,40120,33486,1209600,1520,2,6,0,23407.68,0,8812.8,0,0,0,0,0,3262,21056,8664,330,156,18,0,8,16,40444,na,1382,20,174,2168,2208,6650,19080,1732,72,0,130,116,23286,10332,0,24,0,10,24036,84,40,0,0,0,0,0,0,0,0,344,50,8,0,0,728,178,3880,442,0,0,0,0,0,155.2,76,10824,7484,2544,1058,1140,10436,0,0,0,0,0,0
neg,870,0,132,86,0,0,0,0,236,38046,40200,8682,11894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,216,0,0,0,0,0,0,0,21694,77364,0,686,724,1186,3034,5164,3154,58588,19868,6654,0,67172,18282,7082,2874,1544,1094,610,310,84,6,0,4,14,8,0,0,0,0,0,na,na,na,na,na,na,na,na,0,869.14,0,0,163706,285.0,0,0,0,99170,1209600,2056,18,8,0,47615.04,0,55847.04,34,70,0,1762,44776,10024,21610,19646,1200,40,0,0,24,34,0,0,368,64,1482,6566,14314,17538,55182,3530,14,0,102,440,46856,82,0,0,0,0,49810,174,46,0,0,0,0,0,0,0,0,0,124,32,27204,5200,766,686,440,44,199944,36,0,0,0,167.6,146,53816,9944,3146,940,2150,3672,14828,10384,178,0,0,0
neg,82642,na,2130706432,418,0,0,0,0,0,0,15918,2015386,4132066,1381466,140608,378,3142704,0,0,0,0,0,6468544,5295194,1575368,1002822,0,0,0,0,1108,250,0,0,0,0,0,31750,2424342,4029152,1200578,0,4744,1814,3258,341282,5387478,1947042,204,0,0,0,3673256,1538914,625192,448238,375046,613930,411246,0,0,0,8045348,0,6,44,36,3142704,88610,552112,1006726,241520,228820,238420,209440,244640,259680,na,na,135200,82642.25,8045348,8045348,7998166,38520,2506,64684,770880,7685822,1209600,242316,4,294,0,5516578.56,0,2163697.92,0,0,0,0,0,258936,2357288,3360828,1531254,156674,18850,1992,4348,4364,8045348,na,12064,1606,218316,1491572,433744,3135636,2332552,59960,372,0,680,610,5566914,1692,0,16236,0,44,5608978,6186,198,0,0,0,0,0,0,0,0,52888,79870,41264,0,0,148586,30666,4409400,477870,0,0,0,0,7846690,3483.24,3576,2251286,1529460,933902,625176,1316688,659234,315854,51638,2584,0,0,0
neg,3284,na,204,na,0,0,0,0,0,0,710,102214,515092,212672,26618,340,392890,0,0,na,0,0,727964,587572,274946,116000,0,0,0,0,3104,504,0,0,0,0,0,0,159814,696762,1070,0,10424,10418,11324,235792,420614,169072,2,0,0,0,602306,86662,43596,36636,31280,20728,16214,13510,6004,710,1003110,20,70,132,68,392890,14770,138248,134710,0,0,0,0,0,0,0,0,272080,3284.61,1003110,1003110,na,2853.0,13430,na,1000180,na,1209600,31326,na,na,na,490585.92,6.72,363732.48,na,na,0,0,0,30136,167320,384346,241714,27384,6620,126,na,760,1003110,na,2132,222,116996,118950,61246,354554,195472,8066,8,0,244,2456,191082,288,0,62024,0,0,451608,1796,90,na,na,na,na,na,na,na,na,9766,614,168,2058024,370422,26408,4958,984640,177264,316122,8912,0,0,na,na,na,372006,432126,18768,3978,9476,7744,6294,3976,3278,0,0,0
pos,240054,na,0,na,0,0,0,0,0,1802,200752,3515416,9238358,1453786,5726,0,7557476,0,134,0,3744,5394,12164180,10232802,2637626,1733654,0,0,0,0,0,0,0,0,0,0,1352,239490,5353670,5205906,3615422,0,7006,3286,6472,11862,3506768,10880130,316,0,0,0,5413860,2422670,1198312,840554,689462,753816,1913976,1179646,3544,0,14807394,508,1120,786,206,7557476,286706,1428190,1206038,258580,258380,238440,197600,208920,187680,197920,199280,59640,240054.84,14807394,14807394,14659028,101815.0,869670,12628,267620,14415840,1209600,0,na,na,na,13298952,0,1104408,na,na,0,0,58676,1449614,7926708,4755380,189788,31350,4324,0,na,0,14807394,na,9360,2090,615992,566986,1369380,11392290,448022,11720,0,0,na,na,na,na,na,na,na,na,na,9574,78,0,0,0,0,0,0,0,0,165048,270038,56476,0,0,676622,140630,16483920,3241564,0,0,0,0,147100180,na,na,1165956,2731010,1986560,937408,1756772,1280942,1629598,1576428,1330410,20756,0,0
neg,305442,0,698,na,0,0,0,0,0,32248,912292,3744822,4019908,938346,143114,9082,10270308,0,0,0,191530,275558,16887244,14958020,4609750,1783152,0,0,0,0,3094,636,0,0,0,0,4236,42318,185070,2389042,7179146,0,8370,4058,10384,25052,258878,3366264,6094010,32796,0,0,3743304,1578894,1239462,801982,468976,327084,257698,262852,187276,932284,21691452,458,236,1410,0,10270308,301294,2602100,1977534,272560,252540,228440,232140,326120,270980,280420,278280,204020,305442.99,21691452,21691452,21498812,61956,7046194,90960,1090580,19533772,1209600,0,na,na,na,15766097.28,522752.64,3225263.04,156,1364,0,630,59582,608344,2702118,3037374,1785974,776964,558990,269836,na,0,21691452,0,10774,1486,1477344,558754,371058,4656166,2640636,82026,1568,0,na,na,na,na,na,na,na,na,na,15752,1204,0,0,31820,535748,0,0,0,0,156658,96184,19836,41898342,10013532,640116,126944,10100460,8712460,2930522,158758,0,0,0,3054.18,3238,1911146,1293356,908458,375996,677652,621182,777202,3093204,141602,14,0,0
pos,845928,na,21654,na,0,0,0,0,0,0,1221750,39072660,29705550,2045924,66330,504,33788334,0,114,0,722,1294,61295094,50884874,15903690,8841726,0,0,0,0,137150,17560,36800,19042,26260220,9962608,12878940,22536188,166830,139176,113026,0,100040,39916,45270,59092,107404,71760552,544,12,0,0,39808280,6756852,6538482,5080086,5087454,4908580,3466560,466536,0,0,77211590,27600,15526,22914,822,33788334,991812,8216500,7660854,237160,248600,238160,225580,243560,236620,238100,260960,178480,845927.17,77211590,77211590,76238638,332615.0,108040,118068,874140,72112830,1209600,0,na,na,na,64695652.8,0,7333496.64,58,21620,0,0,25124,7022298,40113838,22293160,2275792,322802,58874,942,na,1878,77211590,na,123452,22232,4167262,4326930,6868150,45693374,10888916,22506,8,0,na,na,na,na,na,na,na,na,na,69996,1156,0,0,0,0,0,0,0,0,648774,189266,21412,0,0,1876676,205158,266835800,27189110,38168206,853942,0,0,13498210,33311.84,36898,7688702,26531798,12717242,6776866,18282528,80610,19730,8576,6762,16,0,0
neg,45434,na,588,464,0,0,0,0,0,0,65576,1336358,1195948,106910,2268,0,1280152,0,0,0,698,1196,2433254,2082142,389470,287632,0,0,0,0,328,816,0,0,0,0,0,187502,1373602,822068,323888,0,2916,416,976,12772,1523396,1166142,440,2,0,0,862648,620018,253834,196294,194072,267918,308506,3770,0,0,2824158,272,250,2140,6,1280152,41616,231886,155400,150600,190500,na,na,na,na,na,na,42000,45433.49,2824158,2824158,2829110,17594,5022,35710,394800,2707060,1209600,82352,0,114,0,2510132.16,0,193143.36,0,0,0,0,5156,311958,1373086,900654,101970,10574,3484,178,330,338,2824158,na,5332,560,21744,88460,63536,1494246,984658,48328,196,0,588,1300,2452636,168884,60,44602,0,0,2519210,1694,164,0,0,0,0,0,0,0,0,24106,46730,8958,0,0,121212,14780,59740,34124,0,0,0,0,6745280,965.84,1252,211070,411404,418190,217766,416118,383600,340090,158042,149824,956,0,0
